PersonID,EAR,BlinkCount,MAR,YawnCount,EyeClosedSeconds,HeadDirection,Emotion,Timestamp
p11,0.398,1,0.003,2,0,Down,NEUTRAL,10:27:37
p11,0.458,1,0.005,2,0,Down,NEUTRAL,10:27:39
p11,0.386,2,0.14,2,0,Down,NEUTRAL,10:27:41
p11,0.313,2,0.026,2,0,Down,NEUTRAL,10:27:43
p11,0.342,2,0.008,2,0,Down,NEUTRAL,10:27:45
p12,0.358,0,0.261,0,0,Up,NEUTRAL,10:28:02
p12,0.364,0,0.136,0,0,Up,NEUTRAL,10:28:04
p12,0.227,0,0.007,0,0,Up,NEUTRAL,10:28:06
p12,0.438,0,0.014,0,0,Down,NEUTRAL,10:28:08
p12,0.429,0,0.001,0,0,Down,NEUTRAL,10:28:10
p12,0.383,0,0.001,0,0,Down,NEUTRAL,10:28:12
p12,0.541,0,0.313,0,0,Left,NEUTRAL,10:28:14
p12,0.338,0,0.222,0,0,Down,NEUTRAL,10:28:16
p12,0.413,0,0.003,0,0,Down,NEUTRAL,10:28:18
p12,0.406,0,0.003,0,0,Down,NEUTRAL,10:28:20
p12,0.36,2,0.008,0,0,Down,NEUTRAL,10:28:22
p12,0.15,3,0.002,0,0.58,Down,TIRED,10:28:25
p12,0.354,4,0.001,0,0,Down,NEUTRAL,10:28:27
p12,0.398,4,0.003,0,0,Down,NEUTRAL,10:28:29
p12,0.409,4,0.002,0,0,Down,NEUTRAL,10:28:31
p12,0.346,4,0.394,0,0,Down,NEUTRAL,10:28:33
p12,0.82,4,0.091,0,0,Left,NEUTRAL,10:28:35
p12,0.397,4,0.209,0,0,Down,NEUTRAL,10:28:37
p12,0.351,4,0.43,0,0,Down,HAPPY,10:28:39
p12,0.387,4,0.003,0,0,Down,NEUTRAL,10:28:41
p12,0.389,4,0.376,0,0,Down,NEUTRAL,10:28:43
p12,0.469,4,0.001,0,0,Down,NEUTRAL,10:28:45
p12,0.512,4,0.002,0,0,Down,NEUTRAL,10:28:47
p12,0.426,4,0.003,0,0,Down,NEUTRAL,10:28:49
p12,0.424,4,0.321,0,0,Down,NEUTRAL,10:28:51
p12,0.357,4,0.645,1,0,Down,NEUTRAL,10:28:53
p12,0.413,4,0.257,2,0,Down,NEUTRAL,10:28:55
p12,0.404,4,0.019,2,0,Down,NEUTRAL,10:28:57
p12,0.326,4,0.078,2,0,Down,NEUTRAL,10:28:59
p12,0.335,4,0.008,2,0,Down,NEUTRAL,10:29:01
pp13,0.378,0,0.003,0,0,Down,NEUTRAL,10:29:48
pp13,0.426,0,0.016,0,0,Down,NEUTRAL,10:29:50
pp13,0.393,3,1.383,0,0,Down,SURPRISED,10:29:52
pp13,0.461,3,1.414,0,0,Down,SURPRISED,10:29:54
pp13,0.375,5,0.27,1,0,Down,NEUTRAL,10:29:56
pp13,0.079,9,0.008,1,0.1,Down,TIRED,10:29:58
pp13,0.827,13,0.014,1,0,Left,NEUTRAL,10:30:00
pp13,0.373,13,0.062,1,0,Left,NEUTRAL,10:30:02
pp13,0.071,13,0.001,1,1.94,Down,TIRED,10:30:04
pp13,0.523,14,0.005,1,0,Down,NEUTRAL,10:30:06
pp13,0.536,14,0.004,1,0,Down,NEUTRAL,10:30:08
pp13,0.424,15,0.005,1,0,Down,NEUTRAL,10:30:10
pp13,0.368,17,0.163,1,0,Down,NEUTRAL,10:30:12
pp13,0.402,17,0.364,2,0,Down,NEUTRAL,10:30:14
pp13,0.518,17,0.011,2,0,Down,NEUTRAL,10:30:16
pp13,0.532,17,0.007,2,0,Down,NEUTRAL,10:30:18
pp13,0.502,17,0.003,2,0,Down,NEUTRAL,10:30:20
pp13,0.532,17,0.003,2,0,Down,NEUTRAL,10:30:22
pp13,0.078,17,0.003,2,1.72,Down,TIRED,10:30:24
pp13,0.065,17,0.762,2,3.74,Down,TIRED,10:30:26
pp13,0.059,17,1.355,2,5.75,Down,TIRED,10:30:28
pp13,0.328,18,1.37,2,0,Down,SURPRISED,10:30:30
pp13,0.342,20,0.006,3,0,Down,NEUTRAL,10:30:32
pp13,0.398,20,0.505,3,0,Down,HAPPY,10:30:34
pp13,0.286,20,0.389,3,0,Down,NEUTRAL,10:30:36
p14,0.302,0,0.067,0,0,Down,NEUTRAL,10:33:32
p14,0.316,0,0.025,0,0,Down,NEUTRAL,10:33:34
p14,0.343,0,0.014,0,0,Down,NEUTRAL,10:34:15
p14,0.298,0,0.075,0,0,Down,NEUTRAL,10:34:17
p14,0.328,0,0.015,0,0,Down,NEUTRAL,10:34:19
p14,0.248,0,0.005,0,0,Down,NEUTRAL,10:34:21
p14,0.34,1,0.382,0,0,Down,NEUTRAL,10:34:23
p14,0.51,1,0.048,0,0,Right,NEUTRAL,10:34:25
p14,0.331,3,0.006,0,0,Down,NEUTRAL,10:34:27
p14,0.496,4,0.441,0,0,Right,HAPPY,10:34:29
p14,0.259,7,0.278,1,0,Down,NEUTRAL,10:34:31
p14,0.311,7,0.004,1,0,Down,NEUTRAL,10:34:33
p14,0.324,7,0.004,1,0,Down,NEUTRAL,10:34:35
p14,0.312,8,0.174,1,0,Down,NEUTRAL,10:34:37
p14,0.257,8,0.275,1,0,Down,NEUTRAL,10:34:39
p14,0.241,8,0.01,1,0,Down,NEUTRAL,10:34:41
p14,0.38,8,0.006,1,0,Down,NEUTRAL,10:34:43
p14,0.436,11,0.005,1,0,Down,NEUTRAL,10:34:45
p14,0.311,12,0.157,1,0,Down,NEUTRAL,10:34:47
p14,0.314,12,0.242,1,0,Down,NEUTRAL,10:34:50
p14,0.64,12,0.809,1,0,Right,SURPRISED,10:34:52
p14,0.319,12,0.002,2,0,Down,NEUTRAL,10:34:54
p14,0.316,12,0.007,2,0,Down,NEUTRAL,10:34:56
p14,0.374,13,0.003,2,0,Down,NEUTRAL,10:34:58
p14,0.625,13,0.582,3,0,Right,NEUTRAL,10:35:00
p14,0.311,14,0.033,6,0,Down,NEUTRAL,10:35:02
p14,0.366,14,0.004,6,0,Down,NEUTRAL,10:35:04
p14,0.408,16,0.373,6,0,Down,NEUTRAL,10:35:06
p14,0.305,17,0.293,8,0,Down,NEUTRAL,10:35:08
p14,0.312,18,0.013,8,0,Right,NEUTRAL,10:35:10
p14,0.281,18,0.111,8,0,Down,NEUTRAL,10:35:12
p14,0.316,18,0.004,8,0,Down,NEUTRAL,10:35:14
p14,0.331,19,0.279,8,0,Down,NEUTRAL,10:35:16
p14,0.286,19,0.308,8,0,Down,NEUTRAL,10:35:18
p15,0.309,0,0.432,0,0,Down,HAPPY,10:46:02
p15,0.249,2,0.354,0,0,Right,NEUTRAL,10:46:04
p15,0.304,3,0.004,0,0,Down,NEUTRAL,10:46:06
p15,0.328,3,0.007,0,0,Down,NEUTRAL,10:46:08
p15,0.282,3,0.004,0,0,Down,NEUTRAL,10:46:10
p15,0.328,4,0.001,0,0,Down,NEUTRAL,10:46:12
p15,0.376,5,0.005,0,0,Down,NEUTRAL,10:46:14
p15,0.397,5,0.008,0,0,Down,NEUTRAL,10:46:16
p15,0.381,5,0.297,0,0,Down,NEUTRAL,10:46:18
p15,0.381,5,0.002,0,0,Down,NEUTRAL,10:46:20
p15,0.332,5,0.003,0,0,Down,NEUTRAL,10:46:22
p15,0.354,6,0.003,0,0,Down,NEUTRAL,10:46:24
p15,0.375,7,0.013,0,0,Down,NEUTRAL,10:46:26
p15,0.289,11,0.088,0,0,Down,NEUTRAL,10:46:28
p15,0.299,12,0.256,2,0,Down,NEUTRAL,10:46:30
p15,0.303,14,0.294,2,0,Down,NEUTRAL,10:46:32
p15,0.223,15,0.815,2,0,Down,SURPRISED,10:46:34
p15,0.353,15,0.264,3,0,Down,NEUTRAL,10:46:36
p15,0.351,17,0.019,3,0,Down,NEUTRAL,10:46:38
p15,0.299,17,0.228,3,0,Down,NEUTRAL,10:46:41
p15,0.363,17,0.004,3,0,Down,NEUTRAL,10:46:43
p15,0.337,19,0.252,4,0,Down,NEUTRAL,10:46:45
p15,0.384,21,0.006,4,0,Down,NEUTRAL,10:46:47
p15,0.395,21,0.223,4,0,Down,NEUTRAL,10:46:49
p15,0.429,21,0.011,4,0,Down,NEUTRAL,10:46:51
p15,0.302,22,0.006,4,0,Down,NEUTRAL,10:46:53
p15,0.388,22,0.001,4,0,Down,NEUTRAL,10:46:55
p15,0.064,23,0.004,4,1.38,Down,TIRED,10:46:57
p15,0.433,24,0.093,4,0,Down,NEUTRAL,10:46:59
p15,0.645,26,0.37,4,0,Right,NEUTRAL,10:47:01
p15,0.495,27,0.43,5,0,Down,HAPPY,10:47:03
p15,0.352,28,0.394,6,0,Down,NEUTRAL,10:47:05
p15,0.306,29,0.238,6,0,Down,NEUTRAL,10:47:07
p15,0.316,31,0.24,6,0,Down,NEUTRAL,10:47:09
p15,0.458,32,0.002,6,0,Down,NEUTRAL,10:47:11
p15,0.401,33,0.274,6,0,Down,NEUTRAL,10:47:13
p15,0.336,33,0.002,6,0,Down,NEUTRAL,10:47:15
p15,0.365,33,0.002,6,0,Down,NEUTRAL,10:47:17
p16,0.425,0,0.014,0,0,Down,NEUTRAL,10:47:49
p16,0.295,0,0.003,0,0,Down,NEUTRAL,10:47:51
p16,0.328,1,0.185,0,0,Down,NEUTRAL,10:47:53
p16,0.208,4,0.283,0,0,Down,BLINK_DETECTED,10:47:55
p16,0.372,7,0.144,0,0,Down,NEUTRAL,10:47:57
p16,0.415,8,0.002,0,0,Down,NEUTRAL,10:47:59
p16,0.43,9,0.002,0,0,Down,NEUTRAL,10:48:01
p16,0.401,12,0.003,0,0,Down,NEUTRAL,10:48:03
p16,0.265,12,0.246,0,0,Down,NEUTRAL,10:48:05
p16,0.339,15,0.189,0,0,Down,NEUTRAL,10:48:07
p16,0.066,16,0.003,0,0.61,Down,TIRED,10:48:09
p16,0.061,16,0.003,0,2.61,Down,TIRED,10:48:11
p16,0.064,16,0.002,0,4.64,Down,TIRED,10:48:13
p16,0.058,16,0.002,0,6.65,Down,TIRED,10:48:15
p16,0.396,18,0.006,0,0,Down,NEUTRAL,10:48:17
p16,0.07,19,0.002,0,0.07,Down,TIRED,10:48:19
p16,0.361,21,0.304,0,0,Down,NEUTRAL,10:48:21
p16,0.642,21,0.021,0,0,Left,NEUTRAL,10:48:23
p16,0.123,21,0.279,1,0.26,Down,TIRED,10:48:25
p16,0.261,23,0.141,1,0,Up,NEUTRAL,10:48:28
p16,0.238,30,0.245,1,0,Down,NEUTRAL,10:48:30
p16,0.354,31,0.001,1,0,Down,NEUTRAL,10:48:32
p16,0.371,34,0.002,1,0,Down,NEUTRAL,10:48:34
p16,0.538,35,0.598,2,0,Left,NEUTRAL,10:48:36
p16,0.271,38,0.278,2,0,Down,NEUTRAL,10:48:38
p16,0.424,39,0.002,2,0,Down,NEUTRAL,10:48:40
p16,0.557,40,0.529,2,0,Left,HAPPY,10:48:42
p16,0.161,43,0.168,3,0.26,Down,TIRED,10:48:44
p16,0.261,45,0.188,3,0,Down,NEUTRAL,10:48:46
p16,0.274,47,0.144,3,0,Down,NEUTRAL,10:48:48
p17,0.378,0,0.056,0,0,Down,NEUTRAL,10:49:25
p17,0.368,0,0.003,0,0,Down,NEUTRAL,10:49:27
p17,0.505,0,0.297,4,0,Down,NEUTRAL,10:49:29
p17,0.317,1,0.004,4,0,Down,NEUTRAL,10:49:31
p17,0.37,4,0.002,4,0,Down,NEUTRAL,10:49:33
p17,0.34,4,0.003,4,0,Down,NEUTRAL,10:49:35
p17,0.414,4,0.047,4,0,Down,NEUTRAL,10:49:37
p17,0.385,4,0.005,4,0,Down,NEUTRAL,10:49:39
p17,0.37,7,0.002,4,0,Down,NEUTRAL,10:49:41
